"Library Name" "Address" "City" "State" "Latitude" "Longitude"
"Civic Center Station Branch Library" "1501 N.W. 12th Ave., 33136" "Miami" "FL" NA NA
"Coconut Grove Branch" "2875 Mcfarlane Road, 33133" "Miami" "FL" NA NA
"Concord Branch Library" "3882 S.W. 112 Ave., 33165" "Miami" "FL" NA NA
"Coral Reef Branch Library" "9211 Coral Reef, 33157" "Miami" "FL" NA NA
"Country Walk Branch Library" "15433 S.W. 137th Ave., 33177" "Miami" "FL" NA NA
"Culmer-Overtown Branch" "350 Nw 13th Street, 33136" "Miami" "FL" NA NA
"Dade County Talking Book Library" "2455 N.W. 183rd St., 33056" "Miami" "FL" NA NA
"Doral Early Childhood Library" "9585 Nw 41st Street, 33178" "Miami" "FL" NA NA
"Edison Center Branch Library" "531 Nw 62nd Street, 33150" "Miami" "FL" NA NA
"Fairlawn Branch Library" "6869 Sw 8th Street, 33144" "Miami" "FL" NA NA
"Grapeland Heights Branch" "1400 Nw 37th Avenue, 33125" "Miami" "FL" NA NA
"Hispanic Branch Library" "2190 West Flagler St., 33135" "Miami" "FL" NA NA
"Kendall Branch Library" "9101 Sw 97th Ave., 33176" "Miami" "FL" NA NA
"Key Biscayne Branch" "299 Crandon Blvd, 33149" "Miami" "FL" NA NA
"Lakes Of The Meadow Branch Library" "4284 S.W. 152nd Ave, 33185" "Miami" "FL" NA NA
"Lemon City Branch" "430 Ne 61st Street, 33137" "Miami" "FL" NA NA
"Little River Branch" "160 Ne 79th Street, 33138" "Miami" "FL" NA NA
"Miami-Dade Public Library System" "101 West Flagler Street, 33130" "Miami" "FL" NA NA
"Model City Branch" "2211 Nw 54th Street, 33142" "Miami" "FL" NA NA
"Naranja Branch Library" "14850 Sw 280 St., 33032" "Naranja" "FL" NA NA
"North Central Branch" "9590 N.W. 27 Avenue, 33147" "Miami" "FL" NA NA
