"STATE" "FSCS ID" "LIBRARY ID" "LIBRARY NAME" "LOCALE" "SERVICE AREA POPULATION" "LOCATION" "ADDRESS" "LATITUDE" "LONGITUDE" "UNDUPLICATED POPULATION" "CENTRAL LIBRARIES" "BRANCH LIBRARIES" "BOOKMOBILES" "MLS LIBRARIAN STAFF" "LIBRARIAN STAFF" "OTHER STAFF" "TOTAL STAFF" "LOCAL REVENUE" "STATE REVENUE" "FEDERAL REVENUE" "OTHER REVENUE" "TOTAL REVENUE" "SALARIES" "BENEFITS" "TOTAL STAFF EXPENDITURES" "PRINT EXPENDITURES" "ELECTRONIC EXPENDITURES" "OTHER COLLECTION EXPENDITURES" "TOTAL COLLECTION EXPENDITURES" "OTHER EXPENDITURES" "TOTAL EXPENDITURES" "LOCAL CAPITAL REVENUE" "STATE CAPITAL REVENUE" "FEDERAL CAPITAL REVENUE" "OTHER CAPITAL REVENUE" "TOTAL CAPITAL REVENUE" "CAPITAL EXPENDITURES" "PRINT MATERIALS" "EBOOKS" "AUDIO MATERIALS" "AUDIO DOWNLOADS" "VIDEO MATERIALS" "VIDEO DOWNLOADS" "LOCAL DATABASES" "STATE DATABASES" "TOTAL DATABASES" "PRINT SERIALS" "HOURS" "VISITS" "REFERENCES" "USERS" "TOTAL CIRCULATION" "KIDS CIRCULATION" "ELECTRONIC CIRCULATION" "LOANS TO" "LOANS FROM" "TOTAL PROGRAMS" "KIDS PROGRAMS" "YA PROGRAMS" "PROGRAM AUDIENCE" "KIDS PROGRAM AUDIENCE" "YA PROGRAM AUDIENCE" "COMPUTERS" "COMPUTER USES" "WIFI SESSIONS" "YEAR" "START DATE" "END DATE" "REPORTING STATUS" "BEA REGION" "STRUCTURE CHANGE" "NAME CHANGE" "ADDRESS CHANGE" "INTERLIBRARY RELATIONSHIP" "MAILING ADDRESS" "MAILING CITY" "MAILING ZIP" "PHONE" "COUNTY" "COUNTY POPULATION" "LEGAL BASIS" "ADMINISTRATIVE STRUCTURE" "FSCS DEFINITION" "LSABOUND" "CollectionSpace" "seatsPer" "WorkSpace" "GrossArea" "Size" "Distance"
" 47.150334 -110.218272 2055 1 1 0 0 1.9 0 1.9 67251 2915 0 21810 91976 NA NA NA 9939 1473 8838 20250 NA 89817 660 0 0 0 660 0 27267 13563 823 9932 1327 0 0 34 34 21 3484 12012 624 741 13991 3794 1433 119 95 91 70 6 1199 1036 46 13 3588 399 2015 2013-07-01 2014-06-30 2 7 0 0 0 "ME" "PO BOX 486" "STANFORD" 59479 4065662277 "JUDITH BASIN" 1991 "CO" "MO" "Y" "N" 383279 14.25 1170.78 449806.2426 571253.928102 51.2702281628983
"MT" "MT0072" "1074" "BROADWATER SCHOOL AND COMMUNITY LIBRARY" 43 5612 "201 N SPRUCE ST
TOWNSEND, MT 59644
(46.322106, -111.521123)" "201 N SPRUCE ST
TOWNSEND, MT 59644
" 46.322106 -111.521123 5566 1 0 0 1 1 0 1 58089 3852 0 8624 70565 NA NA NA 7575 2908 0 10483 NA 60539 0 0 0 0 0 0 39242 13563 741 9932 1394 0 0 34 34 46 3172 45344 5980 2347 35444 24168 935 105 188 208 130 30 1539 1264 35 15 6136 0 2015 2013-07-01 2014-06-30 1 7 0 0 0 "ME" "201 N SPRUCE ST" "TOWNSEND" 59644 4062665060 "BROADWATER" 5667 "MJ" "SO" "Y" "N" 539174 7 1328.52 632387.9484 803132.694468 83.3552822164142
"MT" "MT0074" "985" "VALIER PUBLIC LIBRARY" 43 1892 "400 TETON AVENUE
VALIER, MT 59486
(48.308174, -112.254378)" "400 TETON AVENUE
VALIER, MT 59486
" 48.308174 -112.254378 1877 1 0 0 0 1 0 1 60088 2547 0 0 62635 NA NA NA 13367 1237 0 14604 NA 85202 0 0 0 0 0 0 13367 13563 384 9932 709 0 0 34 34 0 2080 8632 1300 669 10748 2784 1190 76 191 37 27 0 661 562 0 8 5304 0 2015 2013-07-01 2014-06-30 1 7 0 0 0 "ME" "PO BOX 247" "VALIER" 59486 4062793366 "PONDERA" 6219 "CO" "SO" "Y" "N" 188340 14.25 958.83 221479.6311 281279.131497 74.6890501594524
"MT" "MT0803" "1591" "DOROTHY ASBJORNSON COMMUNITY LIBRARY" 43 510 "210 MAIN STREET
WINIFRED, MT 59489
(47.55943, -109.376472)" "210 MAIN STREET
WINIFRED, MT 59489
" 47.55943 -109.376472 506 1 0 0 0 0.4 0 0.4 7164 1844 0 7143 16151 NA NA NA 543 935 0 1478 NA 10794 0 0 0 0 0 0 6003 0 13 0 321 0 0 34 34 1 780 1352 52 189 1970 626 0 0 0 38 30 0 255 212 0 2 52 0 2015 2013-07-01 2014-06-30 1 7 0 0 0 "ME" "PO BOX 181" "WINIFRED" 59489 4064625425 "FERGUS" 11442 "CI" "SO" "Y" "N" 82484 22.5 404.25 96979.2525 123163.650675 84.2735812997072
"MT" "MT0077" "1075" "MEAGHER COUNTY/CITY LIBRARY" 43 1891 "15 FIRST AVENUE SE
